year,title,author,author_gender,POS,POS_ADJF/PRTF,genre,canon_status,narration
1905,Яд,"Северцев-Полилов, Георгий Тихонович",m,NOUN,NOUN,роман из жизни артистов-любителей,0,
1905,Княжой отрок,"Северцев-Полилов, Георгий Тихонович",m,ADJF NOUN,ADJF/PRTF NOUN,"исторический, дворяне",0,3 лицо
1905,Галя,"Сергеенко, Петр Алексеевич",m,NOUN,NOUN,"семейный, дети",0,
1905,Севастополь и севастопольцы,"Соколов, Александр Алексеевич",m,NOUN CONJ NOUN,NOUN CONJ NOUN,исторический,0,
1905,Мелкий бес,"Сологуб, Федор Кузьмич",m,ADJF NOUN,ADJF/PRTF NOUN,"социально-психологический, декадентский; разночинцы, дворяне, мещане, учителя",1,3 лицо
1906,"Под знаменем ""Башмака""","Алтаев, Ал.",f,PREP NOUN NOUN,PREP NOUN NOUN,исторический,0,3 лицо
1906,Декабристы,"Бебутова, Ольга Михайловна",f,NOUN,NOUN,"исторический, декабристы",0,
1906,Новый цыган Яшка,"Голохвастов, К.К.",m,ADJF NOUN NOUN,ADJF/PRTF NOUN NOUN,"детективный, цыгане",0,
1906,Страшный злодей и разбойник Федот Чуркин,"Голохвастов, К.К.",m,ADJF NOUN CONJ NOUN NOUN NOUN,ADJF/PRTF NOUN CONJ NOUN NOUN NOUN,"детективный, уголовный, воры",0,
1906,1905 – кровавый год,Граф Амори,m,NUMR ADJF NOUN,NUMR ADJF/PRTF NOUN,"Политический, роман-хроника, освободительные движения",0,
1906,За границей,"Емельянченко, Иван Яковлевич",m,PREP NOUN,PREP NOUN,социально-психологический,0,
1906,Трудники русской земли,"Кашкаров, Иван Дмитриевич",m,NOUN ADJF NOUN,NOUN ADJF/PRTF NOUN,Роман-хроника,0,
1906,Вне цеха,"Круглов, Александр Васильевич",m,PREP NOUN,PREP NOUN,социально-психологический,0,3 лицо
1906,Паутина,"Крыжановская (Рочестер), Вера Ивановна ",f,NOUN,NOUN,психологический,0,3 лицо
1906,Мертвая петля,"Крыжановская (Рочестер), Вера Ивановна ",f,ADJF NOUN,ADJF/PRTF NOUN,оккультный,0,3 лицо
1906,Эпизод из жизни Тиверия,"Крыжановская (Рочестер), Вера Ивановна ",f,NOUN PREP NOUN NOUN,NOUN PREP NOUN NOUN,"исторический, Древний Рим",0,
1906,Крылья,"Кузмин, Михаил Алексеевич",m,NOUN,NOUN,"социально-психологический, любовный, гомоэротика",0,3 лицо
1906,Из жизни духа,"Новиков, Иван Алексеевич",m,PREP NOUN NOUN,PREP NOUN NOUN,"психологический роман, студенты, нравственность, философия, интеллигенция, вечно женственное",0,
1906,Как он жил,"Оленин, Пётр Алексеевич",m,CONJ NPRO VERB,CONJ NPRO VERB,Психологический,0,
